,category,precision,recall,fbeta
0,10th,0.9814814814814815,0.8548387096774194,0.9137931034482759
1,11th,1.0,0.8833333333333333,0.9380530973451328
2,12th,0.9655172413793104,0.8484848484848485,0.9032258064516129
3,1st-4th,1.0,0.8333333333333334,0.9090909090909091
4,5th-6th,1.0,1.0,1.0
5,7th-8th,0.9705882352941176,0.825,0.8918918918918919
6,9th,1.0,0.7407407407407407,0.851063829787234
7,Assoc-acdm,0.9310344827586207,0.9169811320754717,0.9239543726235742
8,Assoc-voc,0.938953488372093,0.8947368421052632,0.9163120567375888
9,Bachelors,0.946588868940754,0.9495722647456101,0.9480782198246797
10,Doctorate,0.9641693811074918,0.9673202614379085,0.965742251223491
11,HS-grad,0.9353393085787451,0.8722388059701492,0.9026876737720112
12,Masters,0.96875,0.9697601668404588,0.9692548202188641
13,Preschool,1.0,1.0,1.0
14,Prof-school,0.9719626168224299,0.983451536643026,0.9776733254994124
15,Some-college,0.9436936936936937,0.9062725306416727,0.9246046340566385
